Sector,Revenue,RevenueRank,conter
Online Service/Internet-based Services,1B-2B,9,0
Manufacturing/Fabrication,> 10B,12,1
Medical/Pharmaceutical,> 10B,12,2
Manufacturing/Fabrication,> 10B,12,3
Computers/Technology,10M-25M,4,4
Production,1M-2M,1,5
Manufacturing/Fabrication,500M-1B,8,6
Medical/Pharmaceutical,10M-25M,4,7
Telco,> 10B,12,8
Shipping/Transportation,> 10B,12,9
Broadcasting/Communications,5B-10B,11,10
Non-profit/Service,100M-500M,7,11
Medical/Pharmaceutical,> 10B,12,12
Online Service/Internet-based Services,100M-500M,7,13
Computers/Technology,2B-5B,10,14
Medical/Pharmaceutical,2M-5M,2,15
Computers/Technology,5B-10B,11,16
Online Service/Internet-based Services,10M-25M,4,17
Medical/Pharmaceutical,500M-1B,8,18
Online Service/Internet-based Services,5M-10M,3,19
Manufacturing/Fabrication,> 10B,12,20
Online Service/Internet-based Services,100M-500M,7,21
Computers/Technology,100M-500M,7,22
Military/Security/Defense,2B-5B,10,23
Military/Security/Defense,2B-5B,10,24
Computers/Technology,50M-100M,6,25
Computers/Technology,100M-500M,7,26
Agriculture,10M-25M,4,27
Academics/Education,500M-1B,8,28
Online Service/Internet-based Services,100M-500M,7,29
Computers/Technology,100M-500M,7,30
Academics/Education,5B-10B,11,31
Manufacturing/Fabrication,100M-500M,7,32
Manufacturing/Fabrication,> 10B,12,33
Online Service/Internet-based Services,50M-100M,6,34
Broadcasting/Communications,1B-2B,9,35
Online Service/Internet-based Services,50M-100M,6,36
Telco,5B-10B,11,37
Computers/Technology,100M-500M,7,38
Government/Public Service,100M-500M,7,39
Telco,5B-10B,11,40
Computers/Technology,10M-25M,4,41
Online Service/Internet-based Services,25M-50M,5,42
Manufacturing/Fabrication,> 10B,12,43
Retail/Sales,1B-2B,9,44
Online Service/Internet-based Services,50M-100M,6,45
Retail/Sales,100M-500M,7,46
Computers/Technology,2B-5B,10,47
Computers/Technology,5M-10M,3,48
Medical/Pharmaceutical,> 10B,12,49
Computers/Technology,> 10B,12,50
Manufacturing/Fabrication,10M-25M,4,51
Computers/Technology,2M-5M,2,52
Telco,> 10B,12,53
Telco,> 10B,12,54
Accounting/Finance,2B-5B,10,55
Manufacturing/Fabrication,> 10B,12,56
Computers/Technology,50M-100M,6,57
Accounting/Finance,> 10B,12,58
Online Service/Internet-based Services,50M-100M,6,59
Manufacturing/Fabrication,2B-5B,10,60
Manufacturing/Fabrication,2B-5B,10,61
Computers/Technology,100M-500M,7,62
Telco,1B-2B,9,63
Online Service/Internet-based Services,5M-10M,3,64
Manufacturing/Fabrication,2M-5M,2,65
Medical/Pharmaceutical,500M-1B,8,66
Online Service/Internet-based Services,25M-50M,5,67
Manufacturing/Fabrication,> 10B,12,68
Retail/Sales,1B-2B,9,69
Accounting/Finance,> 10B,12,70
Production,10M-25M,4,71
Computers/Technology,2B-5B,10,72
Computers/Technology,> 10B,12,73
Manufacturing/Fabrication,> 10B,12,74
Computers/Technology,> 10B,12,75
Retail/Sales,2M-5M,2,76
Online Service/Internet-based Services,50M-100M,6,77
Manufacturing/Fabrication,> 10B,12,78
Computers/Technology,2M-5M,2,79
Online Service/Internet-based Services,> 10B,12,80
Computers/Technology,500M-1B,8,81
Computers/Technology,5M-10M,3,82
Online Service/Internet-based Services,500M-1B,8,83
Medical/Pharmaceutical,10M-25M,4,84
Accounting/Finance,5B-10B,11,85
Broadcasting/Communications,2B-5B,10,86
Online Service/Internet-based Services,100M-500M,7,87
Retail/Sales,25M-50M,5,88
Government/Public Service,25M-50M,5,89
Shipping/Transportation,2B-5B,10,90
Military/Security/Defense,> 10B,12,91
Computers/Technology,100M-500M,7,92
Telco,> 10B,12,93
Computers/Technology,5B-10B,11,94
Manufacturing/Fabrication,1B-2B,9,95
Accounting/Finance,2B-5B,10,96
Computers/Technology,> 10B,12,97
Accounting/Finance,> 10B,12,98
Government/Public Service,100M-500M,7,99
Computers/Technology,100M-500M,7,100
Computers/Technology,100M-500M,7,101
Computers/Technology,5M-10M,3,102
Computers/Technology,10M-25M,4,103
Computers/Technology,> 10B,12,104
Manufacturing/Fabrication,2B-5B,10,105
Academics/Education,100M-500M,7,106
Government/Public Service,100M-500M,7,107
Retail/Sales,> 10B,12,108
Broadcasting/Communications,5B-10B,11,109
Retail/Sales,100M-500M,7,110
Manufacturing/Fabrication,2B-5B,10,111
Medical/Pharmaceutical,> 10B,12,112
Accounting/Finance,> 10B,12,113
Manufacturing/Fabrication,> 10B,12,114
Online Service/Internet-based Services,5B-10B,11,115
Computers/Technology,2B-5B,10,116
Military/Security/Defense,100M-500M,7,117
Manufacturing/Fabrication,2B-5B,10,118
Accounting/Finance,25M-50M,5,119
Computers/Technology,1B-2B,9,120
Manufacturing/Fabrication,50M-100M,6,121
Computers/Technology,> 10B,12,122
Telco,> 10B,12,123
Online Service/Internet-based Services,5M-10M,3,124
Medical/Pharmaceutical,10M-25M,4,125
Accounting/Finance,> 10B,12,126
Medical/Pharmaceutical,2B-5B,10,127
Computers/Technology,100M-500M,7,128
Shipping/Transportation,100M-500M,7,129
Marketing/CRM,1B-2B,9,130
Medical/Pharmaceutical,> 10B,12,131
Shipping/Transportation,> 10B,12,132
Accounting/Finance,1B-2B,9,133
Insurance/Risk Assessment,> 10B,12,134
Online Service/Internet-based Services,25M-50M,5,135
Manufacturing/Fabrication,> 10B,12,136
Online Service/Internet-based Services,5M-10M,3,137
Computers/Technology,50M-100M,6,138
Online Service/Internet-based Services,25M-50M,5,139
Computers/Technology,> 10B,12,140
Manufacturing/Fabrication,5B-10B,11,141
Online Service/Internet-based Services,> 10B,12,142
Accounting/Finance,10M-25M,4,143
Accounting/Finance,5B-10B,11,144
Manufacturing/Fabrication,50M-100M,6,145
Computers/Technology,100M-500M,7,146
Computers/Technology,100M-500M,7,147
Computers/Technology,100M-500M,7,148
Computers/Technology,5M-10M,3,149
Retail/Sales,5M-10M,3,150
Computers/Technology,> 10B,12,151
Computers/Technology,100M-500M,7,152
Online Service/Internet-based Services,> 10B,12,153
Retail/Sales,1B-2B,9,154
Online Service/Internet-based Services,100M-500M,7,155
Online Service/Internet-based Services,2B-5B,10,156
Medical/Pharmaceutical,2B-5B,10,157
Online Service/Internet-based Services,100M-500M,7,158
Online Service/Internet-based Services,2B-5B,10,159
Medical/Pharmaceutical,2M-5M,2,160
Online Service/Internet-based Services,25M-50M,5,161
Accounting/Finance,> 10B,12,162
Academics/Education,100M-500M,7,163
Retail/Sales,2M-5M,2,164
Computers/Technology,100M-500M,7,165
Computers/Technology,50M-100M,6,166
Insurance/Risk Assessment,100M-500M,7,167
Manufacturing/Fabrication,2B-5B,10,168
