ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,C201,REGION,ESTRATO,LLAVE_PANEL,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C308_COD,C309_COD,C310,C311,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,whoraT,C330,C331,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C348,C347_T,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,INGTOT,INGTOTP,RESIDENT,fa_efm23
2023,01,17301,1,0055,1,1,1,1,202107173011005511,1,1,2, ,1,65,1,1,2,5,1957,1, , , , , , , , , , , , , , ,5212,4711,2, ,1,1,10,10,10,10,10,10,10,70,1, ,2,2, , , ,800,150, , , , , , , , , , , ,1,5,5,1, ,2,2,2,2,2,2,1,1,1, , ,115,150, , , , ,265,265,1,282.403115547691
2023,01,17301,1,0058,1,4,1,1,202107173011005813,3,1,2, ,1,22,4,4,16,10,2000,1, , , , , , , , , , , , , , ,212,8422,3,1,5, ,0,8,14,14,8,8,9,61,1, ,1,2,4,500, , , , , , , , , , , , , , ,1,5,6,5, ,2,2,2,2,2,2,10,7,1,500, , , , , , , ,500,500,1,326.61725319169
2023,01,17301,1,0059,1,1,1,1,202107173011005911,1,1,2, ,1,66,1,1,7,12,1956,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2, , , , ,1,5,4,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , ,1,282.403115547691
2023,01,17301,1,0059,1,2,1,1,202210173011005912,2,1,2, ,2,64,2,2,29,10,1958,1, , , , , , , , , , , , , , ,5212,4711,2, ,1,1,8,10,10,10,10,10,10,68,2,48,2,2, , , ,600,300, , , , , , , , , , , ,1,5,4,5, ,2,2,2,2,2,2,10,9,1, , ,340,300, , , , ,640,640,1,256.692716153248
2023,01,17301,1,0059,1,3,1,1,202107173011005913,3,1,2, ,1,21,3,3,30,4,2001,1, , , , , , , , , , , , , , ,7128,4330,2, ,1,1,0,10,10,10,10,10,0,50,2,30,1,1, , , ,1500, , , , , , , , , , , , ,1,5,6,5, ,2,2,2,2,2,2,10,7,1, , ,1370, , , , , ,1370,1370,1,326.61725319169
2023,01,17322,1,0090,1,1,1,1,202107173221009011,1,1,2, ,2,53,1,1,31,3,1969,1, , , , , , , , , , , , , , ,5120,5610,2, ,1,1,0,4,4,4,4,4,4,38,1, ,2,2, , , ,400,50, ,40, , , , , , , , , ,1,5,1, , ,2,2,2,2,2,2,10,7,1, , ,350,50, ,40, , ,440,400,1,256.692716153248
2023,01,17322,1,0090,1,2,1,1,202107173221009013,3,1,2, ,1,16,2,2,27,9,2006,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2, , , , ,1,6,5,4, ,2,2,2,2,2,2,10,9,4, , , , , , , , , , ,1,326.61725319169
2023,01,17322,1,0091,1,1,1,1,202107173221009112,1,1,2, ,2,28,1,1,28,1,1994,1, , , , , , , , , , , , , , ,9612,4669,2, ,1,1,0,8,8,8,8,8,8,48,1, ,2,2, , , ,1000, , , , , , , , , , , , ,1,5,6,5, ,2,2,2,2,2,2,10,7,1, , ,1033, , , , , ,1033,1033,1,338.209616247186
2023,01,17322,1,0093,1,1,1,1,202107173221009317,1,1,2, ,1,58,1,1,26,8,1964,1, , , , , , , , , , , , , , ,9313,4100,3,5,1,5,0,0,0,0,0,0,8,8,1, ,1,1,2,20, , , , , , , , , , , , , , ,1,5,5,2, ,2,2,2,2,2,2,10,7,1,87, , , , , , , ,87,87,1,282.403115547691
2023,01,17322,1,0094,1,3,1,1,202210173221009414,8,1,2, ,1,65,3,3,30,1,1957,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,2, , , , ,1,1,6,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , ,1,282.403115547691
